tweet_id,retweet_count,favorite_count
840761248237133825,1664,0
840728873075638272,15145,0
840698636975636481,2,170
840696689258311684,916,11819
840632337062862849,1664,8665
840370681858686976,4315,15812
840268004936019968,5428,18496
839990271299457024,2145,12922
839549326359670784,7351,26364
839290600511926273,137,0
839239871831150596,6160,26039
838952994649550848,3804,18927
838921590096166913,1938,10730
838916489579200512,32,0
838831947270979586,10438,0
838561493054533637,1265,10562
838476387338051585,4510,21638
838201503651401729,9541,0
838150277551247360,315,1601
838085839343206401,1,134
838083903487373313,2951,16996
837820167694528512,7445,32819
837482249356513284,423,3733
837471256429613056,2140,12347
837110210464448512,2247,15495
836989968035819520,2188,12312
836753516572119041,4406,18671
836677758902222849,2108,12193
836648853927522308,524,0
836397794269200385,26128,0
836380477523124226,2845,14291
836260088725786625,4112,20599
836001077879255040,4059,18409
835685285446955009,7741,0
835574547218894849,3433,17182
835536468978302976,1606,0
835309094223372289,19910,0
835297930240217089,2841,15920
835264098648616962,1606,7460
835246439529840640,68,2031
835172783151792128,5481,25286
835152434251116546,2857,21619
834931633769889797,1542,10421
834786237630337024,5273,20758
834574053763584002,2392,13191
834477809192075265,10137,0
834458053273591808,1596,9301
834209720923721728,4515,19863
834167344700198914,3498,15302
834089966724603904,2038,9702
834086379323871233,2106,12637
833863086058651648,2293,13008
833826103416520705,3592,17558
833732339549220864,211,0
833722901757046785,3099,20224
833479644947025920,1948,14406
833124694597443584,4630,19578
832998151111966721,2100,12825
832769181346996225,38,0
832757312314028032,3455,16346
832682457690300417,2781,11502
832645525019123713,510,2832
832636094638288896,2661,15380
832397543355072512,2114,11593
832369877331693569,3044,16620
832273440279240704,2234,10989
832215909146226688,5949,0
832215726631055365,8910,0
832088576586297345,2,61
832040443403784192,9155,0
832032802820481025,4456,17281
831939777352105988,5860,23211
831926988323639298,34,325
831911600680497154,6217,26655
831670449226514432,1740,10101
831650051525054464,1849,6899
831552930092285952,2239,8701
831322785565769729,1488,9003
831315979191906304,1067,6332
831309418084069378,2355,11416
831262627380748289,1962,11515
830956169170665475,1426,7729
830583320585068544,15985,64515
830173239259324417,5428,0
830097400375152640,2807,9448
829878982036299777,4791,0
829861396166877184,1855,11894
829501995190984704,10137,30759
829449946868879360,1926,10148
829141528400556032,7024,23616
829011960981237760,15689,51736
828801551087042563,3272,0
828770345708580865,5607,24814
828708714936930305,10731,35387
828650029636317184,1285,9229
828409743546925057,1112,6177
828408677031882754,1235,7461
828381636999917570,2137,12231
828376505180889089,1027,7176
828372645993398273,2808,12220
828361771580813312,170,2116
828046555563323392,2754,11395
828011680017821696,2068,10059
827933404142436356,5030,19456
827653905312006145,2903,15049
827600520311402496,897,7265
827324948884643840,2907,15374
827199976799354881,2129,10277
826958653328592898,4791,20926
826848821049180160,9724,35107
826615380357632002,3821,0
826598799820865537,238,4985
826598365270007810,2254,9722
826476773533745153,4030,17874
826240494070030336,2507,12894
826204788643753985,881,4742
826115272272650244,2981,15199
825876512159186944,1790,10186
825829644528148480,2411,12382
825535076884762624,16935,55492
825147591692263424,4355,17763
825120256414846976,1199,0
825026590719483904,1199,6083
824796380199809024,5296,0
824775126675836928,3368,14500
824663926340194305,1701,10231
824325613288833024,10210,11492
824297048279236611,3704,14642
824025158776213504,578,4696
823939628516474880,2618,10349
823719002937630720,10744,0
823699002998870016,2426,13583
823581115634085888,2522,12658
823333489516937216,22,686
823322678127919110,3860,15286
823269594223824897,9532,0
822975315408461824,3320,16868
822872901745569793,41501,127902
822859134160621569,2186,12864
822647212903690241,6154,0
822610361945911296,2829,14399
822489057087389700,6154,17646
822462944365645825,13715,27139
822244816520155136,9532,34042
822163064745328640,4566,0
821886076407029760,2226,11002
821813639212650496,3237,0
821765923262631936,1607,8172
821522889702862852,1683,7813
821421320206483457,5351,0
821407182352777218,4155,11412
821153421864615936,9,242
821149554670182400,1885,8369
821107785811234820,2053,9337
821044531881721856,2199,12340
820837357901512704,6463,0
820749716845686786,9541,30756
820690176645140481,3110,11932
820494788566847489,541,0
820446719150292993,2472,0
820314633777061888,541,3262
820078625395449857,6048,19269
820013781606658049,1128,0
819952236453363712,1128,5179
819924195358416896,4705,12602
819711362133872643,2995,13027
819588359383371776,1930,9411
819347104292290561,1167,7042
819238181065359361,395,2195
819227688460238848,6463,22452
819015337530290176,35782,0
819015331746349057,18406,0
819006400881917954,18406,44265
819004803107983360,35782,85131
818646164899774465,20205,0
818627210458333184,7307,21840
818614493328580609,2439,9580
818588835076603904,5901,0
818536468981415936,2358,10570
818307523543449600,7771,0
818259473185828864,2174,10716
818145370475810820,2464,11970
817908911860748288,763,4732
817827839487737858,26128,50206
817777686764523521,2592,10509
817536400337801217,2834,11475
817502432452313088,3273,0
817423860136083457,14136,32899
817415592588222464,920,5460
817181837579653120,8162,0
817171292965273600,1954,8553
817120970343411712,2508,11902
817056546584727552,1584,8381
816829038950027264,4545,0
816816676327063552,1959,9756
816697700272001025,2116,9535
816450570814898180,7771,29614
816336735214911488,1878,8394
816091915477250048,2063,8724
816062466425819140,984,0
816014286006976512,5064,0
815990720817401858,984,4819
815966073409433600,8162,21829
815745968457060357,3999,0
815736392542261248,2197,9614
815639385530101762,1596,8036
815390420867969024,3688,10118
814986499976527872,1230,7472
814638523311648768,2617,11029
814578408554463233,5647,0
814530161257443328,1804,8437
814153002265309185,8387,28089
813944609378369540,3085,0
813910438903693312,1798,9103
813812741911748608,13523,35669
813800681631023104,1707,8132
813217897535406080,7081,18210
813202720496779264,1766,9037
813187593374461952,4207,19406
813172488309972993,1870,9070
813157409116065792,2133,7589
813142292504645637,2322,8318
813130366689148928,431,4397
813127251579564032,3018,11552
813112105746448384,2655,10096
813096984823349248,3514,10340
813081950185472002,2700,9695
813066809284972545,1894,7765
813051746834595840,7126,20502
812781120811126785,1847,7374
812709060537683968,1399,6481
812503143955202048,1186,5929
812466873996607488,1862,7800
812372279581671427,3549,13357
811985624773361665,1361,7117
811744202451197953,1543,7382
811647686436880384,713,5480
811627233043480576,2968,12456
811386762094317568,6189,20477
810984652412424192,1383,5198
810896069567610880,1704,8811
810657578271330305,2549,10726
810284430598270976,10898,34412
810254108431155201,3272,14390
809920764300447744,3821,15240
809808892968534016,4746,0
809448704142938112,1421,6805
809220051211603969,5428,19482
809084759137812480,3422,12945
808838249661788160,2956,9912
808733504066486276,2100,7733
808501579447930884,2529,11072
808344865868283904,20205,41549
808134635716833280,5739,0
808106460588765185,2144,8631
808001312164028416,3442,12279
807621403335917568,3511,14293
807106840509214720,53699,115452
807059379405148160,7121,0
807010152071229440,3764,12869
806629075125202948,33587,72944
806620845233815552,5361,0
806576416489959424,1902,4792
